# identificador; nome; país; classe; tempo de vida
93,Atelopus,America do Sul,Anfibio ,18
67,Sapo-dourado,Panama,Anfibio ,15
11,Solands-Petrel,Ilhas Galapagos,Aves ,30
36,Manati,America do Sul,Mamifero ,60
75,Cervo-mule,America do Norte,Mamifero ,15
29,Cacatua-de-crista-laranja,Australia,Aves ,60
53,Leopardo-nebuloso,Asia,Mamifero ,10
87,Macaco-Narigudo,Borneu,Primata ,15
5,Pangolim,Africa,Mamifero ,20
16,Peixe-lua,Oceano Pacifico,Peixe ,10
80,Canguru-vermelho,Australia,Mamifero ,12
21,Lemure-de-cauda-anelada,Madagascar,Mamifero ,19
48,Tigre-siberiano,Russia,Mamifero ,20
58,Tamarin-de-mascara-dourada,Brasil,Mamifero ,15
32,Peixe-dragao,Oceano Pacifico,Peixe ,5
2,Kakapo,Nova Zelandia,Aves ,60
74,Tucano-de-bico-preto,America Central e do Sul,Aves ,20
6,Quokka,Australia,Mamifero ,15
12,Gaur,India,Mamifero ,20
45,Cagado-de-papo-amarelo,America do Sul,Reptil ,30
37,Cacatua-de-crista-preta,Indonesia,Aves ,40
84,Macaco-japones,Japao,Primata ,25
8,Cacatua-de-crista-amarela,Australia,Aves ,60
19,Cacatua-de-crista-rosa,Australia,Aves ,40
51,Galo dagua,Asia,Aves ,10
10,Fossa,Madagascar,Mamifero ,20
30,Morcego-vampiro,America Latina,Mamifero ,9
61,Aguia-harpyia,America Central e do Sul,Aves ,35
42,Cavalo-marinho-dwarf,Oceano Pacifico,Peixe ,2
49,Robalo-azul,Oceano Pacifico,Peixe ,20
77,Curassow-de-bico-amarelo,America Central,Aves ,20
43,Cacatua-de-crista-branca,Australia,Aves ,60
39,Tartaruga-de-pente,Oceano Atlantico,Reptil ,30
28,Galo-da-india,America do Norte,Aves ,10
14,Paca,America do Sul,Mamifero ,8
84,Macaco-japones,Japao,Primata ,25
47,Gato-de-pallas,Asia Central,Mamifero ,12
3,Narval,Artico,Mamifero ,60
71,Tigre-de-bengala,India,Mamifero ,15
41,Suricata,Africa,Mamifero ,14
68,Lobo-guara,America do Sul,Mamifero ,15
69,Falcao-peregrino,Global,Aves ,20
66,Tamandua-mexicano,Mexico,Mamifero ,15
38,Cavalo-marinho,Oceano Pacifico,Peixe ,5
20,Bufalo-africano,Africa,Mamifero ,25
73,Bufalo-asiatico,Sudeste Asiatico,Mamifero ,25
56,Peixe-bolha,Oceano Pacifico,Peixe ,20
83,Centopeia,Amazonia,Insecta ,6
46,Pangolim-de-bico-curto,Africa,Mamifero ,15
57,Gerenuk,Africa Oriental,Mamifero ,15
40,Arapaima,Amazonia,Peixe ,20
59,Ornitorrinco,Australia,Mamifero ,17
52,Naja,Asia,Reptil ,20
6,Quokka,Australia,Mamifero ,15
87,Macaco-Narigudo,Borneu,Primata ,15
72,Salamandra-de-fogo,Europa,Anfibio ,20
18,Tatu-bola,Brasil,Mamifero ,15
55,Muriqui,Brasil,Mamifero ,30
35,Lynx,Europa,Mamifero ,15
60,Lemure-de-areia,Madagascar,Mamifero ,12
91,Lesma-do-mar-azul,Oceanos Tropicais,Moluscos ,2
25,Pato-mergulhao,America do Norte,Aves ,20
57,Gerenuk,Africa Oriental,Mamifero ,15
27,Javali-do-berco,Africa,Mamifero ,20
54,Rinoceronte-de-Javan,Indonesia,Mamifero ,45
82,Anta,America do Sul e Central,Mamifero ,30
90,Lagosta-boxeadora,Oceano Pacifico,Crustaceo ,10
76,Lobo-marinho-de-galapagos,Equador,Mamifero ,20
50,Olingo,America Central,Mamifero ,15
70,Galo-de-campina,Brasil,Aves ,15
81,Slow Loris,Asia,Primata ,25
92,Polvo-dumbo,Oceanos Profundos,Cefalopodes ,5
8,Cacatua-de-crista-amarela,Australia,Aves ,60
96,Papagaio-cara-suja,America Central e do Sul,Aves ,40
97,Agama-de-dentes-de-sabre,Africa Oriental,Reptil ,15
31,Cacatua-negra,Indonesia,Aves ,40
9,Dragao-Barbudo,Australia,Reptil ,15
4,Okapi,Republica Democratica do Congo,Mamifero ,20
93,Atelopus,America do Sul,Anfibio ,18
7,Axolote,Mexico,Anfibio ,15
1,Aye-Aye,Madagascar,Mamifero ,23
85,Boto-cor-de-rosa,Rio Amazonas,Mamifero ,30
15,Rata-do-Pacifico,Nova Zelandia,Mamifero ,10
77,Curassow-de-bico-amarelo,America Central,Aves ,20
3,Narval,Artico,Mamifero ,60
87,Macaco-Narigudo,Borneu,Primata ,15
43,Cacatua-de-crista-branca,Australia,Aves ,60
78,Dromedario,Norte da Africa,Mamifero ,40
28,Galo-da-india,America do Norte,Aves ,10
26,Bongo,Africa,Mamifero ,20
6,Quokka,Australia,Mamifero ,15
4,Okapi,Republica Democratica do Congo,Mamifero ,20
59,Ornitorrinco,Australia,Mamifero ,17
90,Lagosta-boxeadora,Oceano Pacifico,Crustaceo ,10
37,Cacatua-de-crista-preta,Indonesia,Aves ,40
18,Tatu-bola,Brasil,Mamifero ,15
57,Gerenuk,Africa Oriental,Mamifero ,15
43,Cacatua-de-crista-branca,Australia,Aves ,60
13,Kinkajou,America Central,Mamifero ,15
22,Peixe-cavalo,Oceano Pacifico,Peixe ,5
